"jobid" "mutator" "crossover" "repair" "generator" "D" "mu" "eps" "repl" "iters" "time_passed" "entropy" "iters_without_improvement" "repair_operations" "repair_success"
1 "bf" "on" "off" "uncorr" 2 25 0.1 1 2500 4 36.2232445002946 2151 3090 730
2 "bf" "on" "off" "uncorr" 2 25 0.1 2 2500 3 36.2291013203033 2192 3239 736
3 "bf" "on" "off" "uncorr" 2 25 0.1 3 2500 3 36.2092873179984 2234 3444 579
4 "bf" "on" "off" "uncorr" 2 25 0.1 4 2500 2 36.2640412255702 2277 3569 510
5 "bf" "on" "off" "uncorr" 2 25 0.1 5 2500 4 36.216366178991 2203 3057 834
6 "bf" "on" "off" "uncorr" 2 25 0.1 6 2500 3 36.234472854313 2252 3470 590
7 "bf" "on" "off" "uncorr" 2 25 0.1 7 2500 3 36.2246840440262 2219 3431 600
8 "bf" "on" "off" "uncorr" 2 25 0.1 8 2500 3 36.2199681245426 2254 3374 619
9 "bf" "on" "off" "uncorr" 2 25 0.1 9 2500 3 36.233986424364 2201 3050 842
10 "bf" "on" "off" "uncorr" 2 25 0.1 10 2500 3 36.239625741625 2180 3246 631
11 "bf" "on" "off" "uncorr" 2 25 0.2 1 2500 4 36.6925302785455 2143 2286 424
12 "bf" "on" "off" "uncorr" 2 25 0.2 2 2500 4 36.6899739658218 2234 2375 485
13 "bf" "on" "off" "uncorr" 2 25 0.2 3 2500 4 36.6925302785455 2168 2460 556
14 "bf" "on" "off" "uncorr" 2 25 0.2 4 2500 4 36.6874176530981 2196 2429 513
15 "bf" "on" "off" "uncorr" 2 25 0.2 5 2500 4 36.6950865912692 2174 2309 412
16 "bf" "on" "off" "uncorr" 2 25 0.2 6 2500 4 36.6925302785455 2149 2343 452
17 "bf" "on" "off" "uncorr" 2 25 0.2 7 2500 4 36.6976429039929 2172 2600 654
18 "bf" "on" "off" "uncorr" 2 25 0.2 8 2500 4 36.6886958094599 2190 2361 490
19 "bf" "on" "off" "uncorr" 2 25 0.2 9 2500 4 36.6835831840125 2143 2290 418
20 "bf" "on" "off" "uncorr" 2 25 0.2 10 2500 4 36.6912521221836 2114 2294 431
21 "bf" "on" "off" "uncorr" 2 25 0.5 1 2500 4 36.7577959026535 2083 1854 174
22 "bf" "on" "off" "uncorr" 2 25 0.5 2 2500 4 36.7692594850834 2091 1852 186
23 "bf" "on" "off" "uncorr" 2 25 0.5 3 2500 4 36.768600494489 2128 1862 185
24 "bf" "on" "off" "uncorr" 2 25 0.5 4 2500 4 36.7565177462916 2084 1794 187
25 "bf" "on" "off" "uncorr" 2 25 0.5 5 2500 4 36.7615905469123 2140 1907 183
26 "bf" "on" "off" "uncorr" 2 25 0.5 6 2500 4 36.7438158323267 2083 1892 170
27 "bf" "on" "off" "uncorr" 2 25 0.5 7 2500 4 36.7156644981155 2073 1821 167
28 "bf" "on" "off" "uncorr" 2 25 0.5 8 2500 4 36.7546204241623 2108 1897 202
29 "bf" "on" "off" "uncorr" 2 25 0.5 9 2500 4 36.7552794147566 2073 1816 171
30 "bf" "on" "off" "uncorr" 2 25 0.5 10 2500 4 36.7578357274803 2082 1781 162
31 "bf" "on" "off" "uncorr" 2 25 0.9 1 2500 4 35.7294630035761 1942 674 8
32 "bf" "on" "off" "uncorr" 2 25 0.9 2 2500 4 35.7377258962211 1946 736 15
33 "bf" "on" "off" "uncorr" 2 25 0.9 3 2500 4 35.2183047193504 1959 841 27
34 "bf" "on" "off" "uncorr" 2 25 0.9 4 2500 4 35.4585701535962 1965 856 19
35 "bf" "on" "off" "uncorr" 2 25 0.9 5 2500 4 35.9822849245157 1941 908 22
36 "bf" "on" "off" "uncorr" 2 25 0.9 6 2500 4 35.7271157895141 1933 447 16
37 "bf" "on" "off" "uncorr" 2 25 0.9 7 2500 5 35.5807092372889 1942 886 14
38 "bf" "on" "off" "uncorr" 2 25 0.9 8 2500 4 35.9517932558796 1946 829 18
39 "bf" "on" "off" "uncorr" 2 25 0.9 9 2500 4 36.159234474827 1922 712 13
40 "bf" "on" "off" "uncorr" 2 25 0.9 10 2500 4 36.0495217832463 1931 822 16
41 "bf" "on" "off" "uncorr" 2 50 0.1 1 5000 7 36.2975369005813 4616 7573 833
42 "bf" "on" "off" "uncorr" 2 50 0.1 2 5000 9 36.2774834064156 4513 7301 1113
43 "bf" "on" "off" "uncorr" 2 50 0.1 3 5000 7 36.2751205379188 4566 7405 924
44 "bf" "on" "off" "uncorr" 2 50 0.1 4 5000 7 36.2972152646584 4518 7476 877
45 "bf" "on" "off" "uncorr" 2 50 0.1 5 5000 10 36.2693346008359 4518 7145 1134
46 "bf" "on" "off" "uncorr" 2 50 0.1 6 5000 7 36.2808229215636 4549 7608 716
47 "bf" "on" "off" "uncorr" 2 50 0.1 7 5000 6 36.2853465486704 4552 7490 700
48 "bf" "on" "off" "uncorr" 2 50 0.1 8 5000 6 36.2862438229654 4538 7677 784
49 "bf" "on" "off" "uncorr" 2 50 0.1 9 5000 7 36.2976655336276 4541 7441 769
50 "bf" "on" "off" "uncorr" 2 50 0.1 10 5000 8 36.2742146626823 4537 7282 958
51 "bf" "on" "off" "uncorr" 2 50 0.2 1 5000 16 36.7263425768046 4452 5654 1410
52 "bf" "on" "off" "uncorr" 2 50 0.2 2 5000 13 36.7167854364565 4493 5467 1339
53 "bf" "on" "off" "uncorr" 2 50 0.2 3 5000 12 36.7280109915764 4537 5405 1422
54 "bf" "on" "off" "uncorr" 2 50 0.2 4 5000 11 36.7236261819353 4540 5240 1276
55 "bf" "on" "off" "uncorr" 2 50 0.2 5 5000 15 36.719128853162 4530 5249 1257
56 "bf" "on" "off" "uncorr" 2 50 0.2 6 5000 14 36.7254546788527 4513 5056 1163
57 "bf" "on" "off" "uncorr" 2 50 0.2 7 5000 15 36.7219050661496 4532 5570 1502
58 "bf" "on" "off" "uncorr" 2 50 0.2 8 5000 14 36.7213354662436 4465 5211 1254
59 "bf" "on" "off" "uncorr" 2 50 0.2 9 5000 14 36.7226257648514 4451 5093 1132
60 "bf" "on" "off" "uncorr" 2 50 0.2 10 5000 15 36.7208519480518 4503 5362 1319
61 "bf" "on" "off" "uncorr" 2 50 0.5 1 5000 15 36.7792198728873 4380 3811 358
62 "bf" "on" "off" "uncorr" 2 50 0.5 2 5000 13 36.7754347462276 4409 3826 348
63 "bf" "on" "off" "uncorr" 2 50 0.5 3 5000 15 36.7788823154911 4349 3764 332
64 "bf" "on" "off" "uncorr" 2 50 0.5 4 5000 15 36.7788823154911 4431 3789 336
65 "bf" "on" "off" "uncorr" 2 50 0.5 5 5000 14 36.7773791208651 4384 3891 350
66 "bf" "on" "off" "uncorr" 2 50 0.5 6 5000 15 36.7776581129819 4329 3910 404
67 "bf" "on" "off" "uncorr" 2 50 0.5 7 5000 13 36.7784322389628 4473 3806 347
68 "bf" "on" "off" "uncorr" 2 50 0.5 8 5000 14 36.7774330747177 4333 3860 341
69 "bf" "on" "off" "uncorr" 2 50 0.5 9 5000 11 36.778769796359 4389 3873 355
70 "bf" "on" "off" "uncorr" 2 50 0.5 10 5000 14 36.7781081895101 4323 3765 359
71 "bf" "on" "off" "uncorr" 2 50 0.9 1 5000 13 36.5297878485619 3894 1686 43
72 "bf" "on" "off" "uncorr" 2 50 0.9 2 5000 15 36.398465736127 3899 1841 43
73 "bf" "on" "off" "uncorr" 2 50 0.9 3 5000 14 36.4985022697073 3865 1747 46
74 "bf" "on" "off" "uncorr" 2 50 0.9 4 5000 12 36.4898791162573 3823 1621 41
75 "bf" "on" "off" "uncorr" 2 50 0.9 5 5000 14 36.4579906527327 3870 1936 47
76 "bf" "on" "off" "uncorr" 2 50 0.9 6 5000 15 36.5207354437844 3930 1938 38
77 "bf" "on" "off" "uncorr" 2 50 0.9 7 5000 12 36.4345625484263 3884 1796 47
78 "bf" "on" "off" "uncorr" 2 50 0.9 8 5000 13 36.4775229525658 3899 1983 45
