jobid mutator crossover repair generator D mu eps repl
1 bf on off uncorr 2 25 0.1 1
2 bf on off uncorr 2 25 0.1 2
3 bf on off uncorr 2 25 0.1 3
4 bf on off uncorr 2 25 0.1 4
5 bf on off uncorr 2 25 0.1 5
6 bf on off uncorr 2 25 0.1 6
7 bf on off uncorr 2 25 0.1 7
8 bf on off uncorr 2 25 0.1 8
9 bf on off uncorr 2 25 0.1 9
10 bf on off uncorr 2 25 0.1 10
11 bf on off uncorr 2 25 0.2 1
12 bf on off uncorr 2 25 0.2 2
13 bf on off uncorr 2 25 0.2 3
14 bf on off uncorr 2 25 0.2 4
15 bf on off uncorr 2 25 0.2 5
16 bf on off uncorr 2 25 0.2 6
17 bf on off uncorr 2 25 0.2 7
18 bf on off uncorr 2 25 0.2 8
19 bf on off uncorr 2 25 0.2 9
20 bf on off uncorr 2 25 0.2 10
21 bf on off uncorr 2 25 0.5 1
22 bf on off uncorr 2 25 0.5 2
23 bf on off uncorr 2 25 0.5 3
24 bf on off uncorr 2 25 0.5 4
25 bf on off uncorr 2 25 0.5 5
26 bf on off uncorr 2 25 0.5 6
27 bf on off uncorr 2 25 0.5 7
28 bf on off uncorr 2 25 0.5 8
29 bf on off uncorr 2 25 0.5 9
30 bf on off uncorr 2 25 0.5 10
31 bf on off uncorr 2 25 0.9 1
32 bf on off uncorr 2 25 0.9 2
33 bf on off uncorr 2 25 0.9 3
34 bf on off uncorr 2 25 0.9 4
35 bf on off uncorr 2 25 0.9 5
36 bf on off uncorr 2 25 0.9 6
37 bf on off uncorr 2 25 0.9 7
38 bf on off uncorr 2 25 0.9 8
39 bf on off uncorr 2 25 0.9 9
40 bf on off uncorr 2 25 0.9 10
41 bf on off uncorr 2 50 0.1 1
42 bf on off uncorr 2 50 0.1 2
43 bf on off uncorr 2 50 0.1 3
44 bf on off uncorr 2 50 0.1 4
45 bf on off uncorr 2 50 0.1 5
46 bf on off uncorr 2 50 0.1 6
47 bf on off uncorr 2 50 0.1 7
48 bf on off uncorr 2 50 0.1 8
49 bf on off uncorr 2 50 0.1 9
50 bf on off uncorr 2 50 0.1 10
51 bf on off uncorr 2 50 0.2 1
52 bf on off uncorr 2 50 0.2 2
53 bf on off uncorr 2 50 0.2 3
54 bf on off uncorr 2 50 0.2 4
55 bf on off uncorr 2 50 0.2 5
56 bf on off uncorr 2 50 0.2 6
57 bf on off uncorr 2 50 0.2 7
58 bf on off uncorr 2 50 0.2 8
59 bf on off uncorr 2 50 0.2 9
60 bf on off uncorr 2 50 0.2 10
61 bf on off uncorr 2 50 0.5 1
62 bf on off uncorr 2 50 0.5 2
63 bf on off uncorr 2 50 0.5 3
64 bf on off uncorr 2 50 0.5 4
65 bf on off uncorr 2 50 0.5 5
66 bf on off uncorr 2 50 0.5 6
67 bf on off uncorr 2 50 0.5 7
68 bf on off uncorr 2 50 0.5 8
69 bf on off uncorr 2 50 0.5 9
70 bf on off uncorr 2 50 0.5 10
71 bf on off uncorr 2 50 0.9 1
72 bf on off uncorr 2 50 0.9 2
73 bf on off uncorr 2 50 0.9 3
74 bf on off uncorr 2 50 0.9 4
75 bf on off uncorr 2 50 0.9 5
76 bf on off uncorr 2 50 0.9 6
77 bf on off uncorr 2 50 0.9 7
78 bf on off uncorr 2 50 0.9 8
79 bf on off uncorr 2 50 0.9 9
80 bf on off uncorr 2 50 0.9 10
81 bf on off uncorr 2 100 0.1 1
82 bf on off uncorr 2 100 0.1 2
83 bf on off uncorr 2 100 0.1 3
84 bf on off uncorr 2 100 0.1 4
85 bf on off uncorr 2 100 0.1 5
86 bf on off uncorr 2 100 0.1 6
87 bf on off uncorr 2 100 0.1 7
88 bf on off uncorr 2 100 0.1 8
89 bf on off uncorr 2 100 0.1 9
90 bf on off uncorr 2 100 0.1 10
91 bf on off uncorr 2 100 0.2 1
92 bf on off uncorr 2 100 0.2 2
93 bf on off uncorr 2 100 0.2 3
94 bf on off uncorr 2 100 0.2 4
95 bf on off uncorr 2 100 0.2 5
96 bf on off uncorr 2 100 0.2 6
97 bf on off uncorr 2 100 0.2 7
98 bf on off uncorr 2 100 0.2 8
99 bf on off uncorr 2 100 0.2 9
100 bf on off uncorr 2 100 0.2 10
101 bf on off uncorr 2 100 0.5 1
102 bf on off uncorr 2 100 0.5 2
103 bf on off uncorr 2 100 0.5 3
104 bf on off uncorr 2 100 0.5 4
105 bf on off uncorr 2 100 0.5 5
106 bf on off uncorr 2 100 0.5 6
107 bf on off uncorr 2 100 0.5 7
108 bf on off uncorr 2 100 0.5 8
109 bf on off uncorr 2 100 0.5 9
110 bf on off uncorr 2 100 0.5 10
111 bf on off uncorr 2 100 0.9 1
112 bf on off uncorr 2 100 0.9 2
113 bf on off uncorr 2 100 0.9 3
114 bf on off uncorr 2 100 0.9 4
115 bf on off uncorr 2 100 0.9 5
116 bf on off uncorr 2 100 0.9 6
117 bf on off uncorr 2 100 0.9 7
118 bf on off uncorr 2 100 0.9 8
119 bf on off uncorr 2 100 0.9 9
120 bf on off uncorr 2 100 0.9 10
121 bf on off uncorr 2 200 0.1 1
122 bf on off uncorr 2 200 0.1 2
123 bf on off uncorr 2 200 0.1 3
124 bf on off uncorr 2 200 0.1 4
125 bf on off uncorr 2 200 0.1 5
126 bf on off uncorr 2 200 0.1 6
127 bf on off uncorr 2 200 0.1 7
128 bf on off uncorr 2 200 0.1 8
129 bf on off uncorr 2 200 0.1 9
130 bf on off uncorr 2 200 0.1 10
131 bf on off uncorr 2 200 0.2 1
132 bf on off uncorr 2 200 0.2 2
133 bf on off uncorr 2 200 0.2 3
134 bf on off uncorr 2 200 0.2 4
135 bf on off uncorr 2 200 0.2 5
136 bf on off uncorr 2 200 0.2 6
137 bf on off uncorr 2 200 0.2 7
138 bf on off uncorr 2 200 0.2 8
139 bf on off uncorr 2 200 0.2 9
140 bf on off uncorr 2 200 0.2 10
141 bf on off uncorr 2 200 0.5 1
142 bf on off uncorr 2 200 0.5 2
143 bf on off uncorr 2 200 0.5 3
144 bf on off uncorr 2 200 0.5 4
145 bf on off uncorr 2 200 0.5 5
146 bf on off uncorr 2 200 0.5 6
147 bf on off uncorr 2 200 0.5 7
148 bf on off uncorr 2 200 0.5 8
149 bf on off uncorr 2 200 0.5 9
150 bf on off uncorr 2 200 0.5 10
151 bf on off uncorr 2 200 0.9 1
152 bf on off uncorr 2 200 0.9 2
153 bf on off uncorr 2 200 0.9 3
154 bf on off uncorr 2 200 0.9 4
155 bf on off uncorr 2 200 0.9 5
156 bf on off uncorr 2 200 0.9 6
157 bf on off uncorr 2 200 0.9 7
158 bf on off uncorr 2 200 0.9 8
159 bf on off uncorr 2 200 0.9 9
160 bf on off uncorr 2 200 0.9 10
161 bf on off uncorr 5 25 0.1 1
162 bf on off uncorr 5 25 0.1 2
163 bf on off uncorr 5 25 0.1 3
164 bf on off uncorr 5 25 0.1 4
165 bf on off uncorr 5 25 0.1 5
166 bf on off uncorr 5 25 0.1 6
167 bf on off uncorr 5 25 0.1 7
168 bf on off uncorr 5 25 0.1 8
169 bf on off uncorr 5 25 0.1 9
170 bf on off uncorr 5 25 0.1 10
171 bf on off uncorr 5 25 0.2 1
172 bf on off uncorr 5 25 0.2 2
173 bf on off uncorr 5 25 0.2 3
174 bf on off uncorr 5 25 0.2 4
175 bf on off uncorr 5 25 0.2 5
176 bf on off uncorr 5 25 0.2 6
177 bf on off uncorr 5 25 0.2 7
178 bf on off uncorr 5 25 0.2 8
179 bf on off uncorr 5 25 0.2 9
180 bf on off uncorr 5 25 0.2 10
181 bf on off uncorr 5 25 0.5 1
182 bf on off uncorr 5 25 0.5 2
183 bf on off uncorr 5 25 0.5 3
